Ticker,NCTId,ResultsFirstPostDate,CompletionDate,BuyPrice,SellPrice,PercentDiff
ACOR,NCT00483652,"April 14, 2011",May 2008,3396.00,3354.00,-0.31
ACOR,NCT02240030,"April 17, 2018",December 2016,2868.00,2802.00,-0.58
ACOR,NCT02271217,"December 4, 2017",October 2016,2448.00,2556.00,1.08
ACOR,NCT01839279,"June 1, 2015",May 2014,3706.80,3675.60,-0.21
ACOR,NCT01405950,"May 13, 2013",March 2012,3859.20,3849.60,-0.06
ACOR,NCT01316055,"November 7, 2012",September 2011,2918.40,2889.60,-0.25
ACOR,NCT00053417,"August 4, 2011",December 2003,2743.20,3067.20,2.79
ACOR,NCT01328379,"August 13, 2013",July 2012,4130.40,4086.00,-0.27
ACOR,NCT01417078,"March 29, 2017",March 2013,3234.00,2520.00,-6.20
ACOR,NCT02316847,"July 30, 2018",September 2016,3258.00,3192.00,-0.51
ACOR,NCT02474407,"October 16, 2018",July 2016,2302.80,2143.20,-1.79
ACOR,NCT01535664,"October 14, 2013",June 2012,3901.20,3987.60,0.55
ACOR,NCT01337986,"January 30, 2020",December 2013,243.60,259.20,1.55
ACOR,NCT01811706,"January 12, 2015",December 2013,4065.60,4221.60,0.94
ACOR,NCT02166346,"April 17, 2018","January 8, 2017",2868.00,2802.00,-0.58
ACOR,NCT01491022,"April 13, 2017",July 2014,1998.00,1920.00,-1.00
ACOR,NCT01444300,"June 16, 2014",September 2013,4215.60,4032.00,-1.11
ACOR,NCT01356940,"April 9, 2015",April 2013,4178.40,4221.60,0.26
ACOR,NCT00659230,"June 1, 2017","August 30, 2012",1836.00,1830.00,-0.08
AFIB,NCT04658940,"September 28, 2023","June 12, 2022",0.74,0.70,-1.39
AFIB,NCT03368781,"April 12, 2022","October 29, 2020",0.90,0.88,-0.50
ADPT,NCT03738228,"July 20, 2023","September 21, 2024",7.80,8.06,0.82
ADPT,NCT01750879,"July 28, 2021","July 11, 2017",37.20,36.66,-0.37
ADPT,NCT01208662,"December 18, 2023",September 2025,4.30,4.07,-1.37
ADMA,NCT01814800,"October 5, 2016",January 2015,6.93,6.68,-0.92
ADVM,NCT02168686,"August 8, 2022","August 29, 2019",1.41,1.35,-1.09
AEZS,NCT00670306,"January 19, 2011",August 2009,23550.00,23250.00,-0.32
AEZS,NCT02558829,"February 9, 2018","November 29, 2016",47.00,47.25,0.13
AEZS,NCT01767155,"July 31, 2018","January 30, 2017",48.00,49.25,0.64
AEZS,NCT00663858,"January 17, 2011",January 2010,24750.00,23250.00,-1.56
AEZS,NCT00449150,"January 19, 2011",December 2009,23550.00,23250.00,-0.32
AEZS,NCT00448747,"July 23, 2019",July 2011,60.50,61.75,0.51
AFMD,NCT04101331,"June 5, 2023","January 11, 2024",0.73,0.71,-0.73
AGEN,NCT01687595,"July 13, 2021",January 2015,5.43,5.29,-0.64
AGEN,NCT01147536,"June 3, 2021",June 2012,4.20,4.98,4.22
AGEN,NCT00905060,"March 24, 2021","June 3, 2014",2.72,2.80,0.71
AGEN,NCT01814813,"June 12, 2019","May 1, 2023",2.62,2.61,-0.09
AGEN,NCT00293423,"May 13, 2021","January 12, 2013",3.20,4.10,6.18
AGRX,NCT01375946,"December 21, 2017",June 2011,5680.00,5380.00,-1.36
AGRX,NCT02158572,"September 25, 2017",November 2016,9720.00,9700.00,-0.05
AGRX,NCT01250210,"July 5, 2018",February 2008,1140.00,1080.00,-1.35
AGRX,NCT01243580,"December 19, 2017",December 2009,9520.00,5040.00,-15.38
AGRX,NCT01422135,"December 31, 2018",April 2011,1152.00,1480.00,6.23
AGRX,NCT01181479,"July 3, 2018",March 2012,1060.00,1120.00,1.38
AGRX,NCT01623466,"August 28, 2017",September 2012,10000.00,9760.00,-0.61
AGRX,NCT03173248,"March 23, 2023","June 30, 2024",11.75,11.60,-0.32
AGRX,NCT02963506,"November 16, 2020",August 2018,5440.00,5560.00,0.55
AGIO,NCT03692052,"November 15, 2021","September 30, 2030",37.18,37.25,0.05
AGIO,NCT03548220,"May 24, 2022","October 9, 2020",19.63,19.83,0.25
AGIO,NCT02476916,"June 11, 2020",March 2025,48.30,48.02,-0.15
AGIO,NCT02273739,"February 23, 2021","June 3, 2016",52.89,47.44,-2.72
AGIO,NCT04000165,"July 12, 2022","June 21, 2021",22.66,22.31,-0.39
AKBA,NCT03140722,"February 21, 2021","March 21, 2018",4.11,4.28,1.01
AKBA,NCT03054337,"April 8, 2021","August 28, 2017",2.98,3.12,1.11
AKBA,NCT03054350,"April 8, 2021","January 24, 2018",2.98,3.12,1.11
AKBA,NCT02892149,"June 28, 2022","March 30, 2020",0.38,0.39,0.59
AKBA,NCT02680574,"June 27, 2022","July 31, 2020",0.37,0.39,1.32
AKBA,NCT02865850,"July 18, 2022","March 30, 2020",0.40,0.41,0.67
AKBA,NCT03799627,"September 29, 2022","July 15, 2020",0.31,0.32,0.16
AKBA,NCT01381094,"July 1, 2022","February 16, 2012",0.41,0.45,2.44
AKBA,NCT02260193,"July 1, 2022","July 22, 2015",0.41,0.45,2.44
AKBA,NCT01906489,"July 1, 2022","September 3, 2014",0.41,0.45,2.44
AKBA,NCT02648347,"June 27, 2022","July 31, 2020",0.37,0.39,1.32
AKBA,NCT01235936,"July 1, 2022",May 2011,0.41,0.45,2.44
AKBA,NCT04707573,"May 17, 2022","September 24, 2010",0.33,0.33,-0.30
AKBA,NCT03254485,"September 15, 2022","August 19, 2019",0.37,0.35,-0.76
AKBA,NCT03217591,"September 15, 2022","August 20, 2019",0.37,0.35,-0.76
AKRO,NCT03976401,"August 4, 2022","January 10, 2022",13.24,13.74,0.93
TCRT,NCT01808534,"July 2, 2015",November 2014,170.40,159.75,-1.61
ALDX,NCT02406209,"March 27, 2023",April 2016,9.83,9.73,-0.26
ALDX,NCT02578914,"December 5, 2023",December 2015,3.15,3.16,0.08
ALDX,NCT04971031,"March 1, 2023","September 8, 2021",7.09,7.48,1.34
ALDX,NCT03445650,"February 9, 2023","January 18, 2020",6.25,6.41,0.63
ALDX,NCT03012165,"January 9, 2023",May 2017,7.36,7.37,0.03
ALDX,NCT02402309,"December 13, 2022",June 2016,6.20,6.32,0.48
ALLK,NCT03436797,"January 23, 2024","April 6, 2020",1.16,1.30,2.85
ALLK,NCT04856891,"January 2, 2024","January 9, 2023",2.62,2.82,1.84
ALLK,NCT04322708,"January 2, 2024","January 18, 2022",2.62,2.82,1.84
ALLK,NCT04322604,"January 2, 2024","January 12, 2022",2.62,2.82,1.84
ALLK,NCT03664960,"February 28, 2024","November 2, 2021",1.55,1.64,1.41
ALLK,NCT03496571,"January 17, 2024","June 24, 2019",1.02,1.16,3.21
ALLK,NCT02734849,"December 28, 2020",January 2018,143.05,140.00,-0.54
ALVR,NCT02108522,"July 19, 2021",December 2019,18.48,19.51,1.36
ALNY,NCT02510261,"December 6, 2023","November 23, 2022",175.02,170.04,-0.72
ALNY,NCT01961921,"October 30, 2018",August 2016,80.43,88.26,2.32
ALNY,NCT02595983,"March 28, 2019","February 6, 2017",91.83,92.06,0.06
ALNY,NCT01617967,"November 21, 2018",January 2014,79.50,77.13,-0.76
ALNY,NCT02352493,"March 30, 2020",August 2017,112.14,111.39,-0.17
ALNY,NCT01960348,"September 6, 2018",August 2017,104.25,94.75,-2.39
ALNY,NCT02706886,"January 30, 2020","January 23, 2019",114.66,121.59,1.47
ALNY,NCT03338816,"February 11, 2020","May 31, 2021",133.99,128.70,-1.01
ALNY,NCT03681184,"January 19, 2021","January 12, 2024",170.97,172.38,0.21
ALNY,NCT04152200,"July 12, 2022",July 2025,142.70,145.39,0.47
ALNY,NCT03862807,"December 21, 2021","October 20, 2020",199.59,194.35,-0.67
